file_name,file_path,true_label,predicted_label,mean_prob,max_prob,positive_ratio,n_windows
1.wav,data/test_resampled/low_snr_labeled/06Nov21_left/1.wav,1,1,1.0,1.0,1.0,26
11.wav,data/test_resampled/low_snr_labeled/06Nov21_left/11.wav,1,1,1.0,1.0,1.0,32
12.wav,data/test_resampled/low_snr_labeled/06Nov21_left/12.wav,1,1,0.9556738138198853,1.0,0.96875,32
13.wav,data/test_resampled/low_snr_labeled/06Nov21_left/13.wav,1,1,0.9364492297172546,1.0,0.9,20
2.wav,data/test_resampled/low_snr_labeled/06Nov21_left/2.wav,1,1,1.0,1.0,1.0,51
3.wav,data/test_resampled/low_snr_labeled/06Nov21_left/3.wav,1,1,1.0,1.0,1.0,19
32.wav,data/test_resampled/low_snr_labeled/06Nov21_left/32.wav,1,1,1.0,1.0,1.0,109
33_mixed.wav,data/test_resampled/low_snr_labeled/06Nov21_left/33_mixed.wav,1,1,0.9999310970306396,1.0,1.0,310
37.wav,data/test_resampled/low_snr_labeled/06Nov21_left/37.wav,1,1,1.0,1.0,1.0,99
38.wav,data/test_resampled/low_snr_labeled/06Nov21_left/38.wav,1,1,1.0,1.0,1.0,49
39.wav,data/test_resampled/low_snr_labeled/06Nov21_left/39.wav,1,1,0.9913623929023743,1.0,0.9910714285714286,112
40.wav,data/test_resampled/low_snr_labeled/06Nov21_left/40.wav,1,1,0.9996873736381531,1.0,1.0,11
49.wav,data/test_resampled/low_snr_labeled/06Nov21_left/49.wav,1,1,1.0,1.0,1.0,15
50.wav,data/test_resampled/low_snr_labeled/06Nov21_left/50.wav,1,1,1.0,1.0,1.0,78
51.wav,data/test_resampled/low_snr_labeled/06Nov21_left/51.wav,1,1,0.9506295323371887,1.0,0.95,120
52.wav,data/test_resampled/low_snr_labeled/06Nov21_left/52.wav,1,1,0.9984297156333923,1.0,1.0,34
1.wav,data/test_resampled/low_snr_labeled/06Sept15_left/1.wav,1,1,0.9097888469696045,1.0,0.9158878504672897,107
10_lowsnr.wav,data/test_resampled/low_snr_labeled/06Sept15_left/10_lowsnr.wav,1,1,0.986273467540741,1.0,0.9814814814814815,54
11_bark.wav,data/test_resampled/low_snr_labeled/06Sept15_left/11_bark.wav,1,0,0.22075757384300232,0.44151511788368225,0.0,2
12_lowsnr.wav,data/test_resampled/low_snr_labeled/06Sept15_left/12_lowsnr.wav,1,1,0.9983135461807251,1.0,1.0,28
13.wav,data/test_resampled/low_snr_labeled/06Sept15_left/13.wav,1,1,0.8540776968002319,1.0,0.875,40
14.wav,data/test_resampled/low_snr_labeled/06Sept15_left/14.wav,1,1,0.7908582091331482,1.0,0.7931034482758621,29
15_lowsnr.wav,data/test_resampled/low_snr_labeled/06Sept15_left/15_lowsnr.wav,1,1,0.8857980966567993,0.9999998807907104,0.875,16
16.wav,data/test_resampled/low_snr_labeled/06Sept15_left/16.wav,1,1,0.9951737523078918,1.0,1.0,58
17.wav,data/test_resampled/low_snr_labeled/06Sept15_left/17.wav,1,1,0.13088999688625336,0.8777573108673096,0.14285714285714285,7
18.wav,data/test_resampled/low_snr_labeled/06Sept15_left/18.wav,1,1,0.9997647404670715,1.0,1.0,26
19.wav,data/test_resampled/low_snr_labeled/06Sept15_left/19.wav,1,1,0.9667527675628662,1.0,0.9726027397260274,73
2.wav,data/test_resampled/low_snr_labeled/06Sept15_left/2.wav,1,1,0.9999998211860657,1.0,1.0,22
20.wav,data/test_resampled/low_snr_labeled/06Sept15_left/20.wav,1,1,1.0,1.0,1.0,22
21.wav,data/test_resampled/low_snr_labeled/06Sept15_left/21.wav,1,1,0.9999986886978149,1.0,1.0,75
22.wav,data/test_resampled/low_snr_labeled/06Sept15_left/22.wav,1,1,0.9999879002571106,1.0,1.0,9
